"id"	"user_id"	"station_id"	"date"	"type"	"start_time"	"end_time"	"status"	"month"	"year"	"can_split"	"notes"	"split_type"
1621	16	1	"2025-12-31 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1622	16	1	"2026-01-01 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1623	16	1	"2026-01-02 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1625	16	1	"2026-01-04 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1626	16	1	"2026-01-05 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1627	16	1	"2026-01-06 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1629	16	1	"2026-01-08 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1630	16	1	"2026-01-09 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1631	16	1	"2026-01-10 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1633	16	1	"2026-01-12 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1634	16	1	"2026-01-13 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1635	16	1	"2026-01-14 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1637	16	1	"2026-01-16 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1638	16	1	"2026-01-17 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1639	16	1	"2026-01-18 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1641	16	1	"2026-01-20 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1642	16	1	"2026-01-21 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1643	16	1	"2026-01-22 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1645	16	1	"2026-01-24 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1646	16	1	"2026-01-25 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1647	16	1	"2026-01-26 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1649	16	1	"2026-01-28 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1650	16	1	"2026-01-29 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1651	16	1	"2026-01-30 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1683	28	1	"2025-12-31 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1684	28	1	"2026-01-01 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1685	28	1	"2026-01-02 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
1686	28	1	"2026-01-03 23:00:00"	"night"	"2026-01-04 18:00:00"	"2026-01-05 06:00:00"	"pending"	1	2026	true	"Automatisch gegenereerd voor test (full night shift)"	
1687	28	1	"2026-01-04 23:00:00"	"unavailable"			"pending"	1	2026	false	"Automatisch gegenereerd voor test (niet beschikbaar)"	
